,Republic of Kazakhstan,Aqmola,Aqtöbe,Almaty,Atyrau,West Kazakhstan,Zhambyl,Qaraghandy,Qostanay,Qyzylorda,Türkistan,Pavlodar,North Kazakhstan,East Kazakhstan
2004,8.8,7.1,5.3,31.4,3.1,5.7,18.0,6.8,7.9,32.0,21.3,6.2,9.3,11.6
2005,10.0,21.8,4.7,30.2,1.4,3.9,16.6,3.9,10.5,30.7,16.8,5.2,11.2,10.4
2006,11.7,23.2,2.9,28.700000000000003,1.0,6.1,11.8,6.3,13.4,30.4,14.6,6.7,14.5,9.5
2007,13.3,25.6,7.8,31.299999999999997,1.3,8.5,13.0,8.1,15.0,31.1,17.0,8.3,15.1,11.9
2008,10.1,20.6,8.5,23.5,6.5,13.3,8.3,5.7,11.5,30.7,11.6,3.7,12.4,4.3
2009,12.6,22.6,6.3,33.2,0.8,5.4,24.0,7.9,11.1,33.5,21.2,13.5,14.5,15.9
2010,8.0,11.600000000000001,2.4,31.2,1.0,4.2,16.4,4.5,7.3,38.5,17.6,5.4,9.7,10.0
2011,16.9,29.799999999999997,7.5,34.3,7.7,9.7,17.4,10.8,18.4,34.7,17.0,7.4,20.9,10.6
2012,8.6,12.7,2.9,28.299999999999997,2.3,5.4,11.0,6.5,6.1,34.6,15.4,3.7,11.7,11.0
2013,11.62,17.79,5.01,24.84,5.38,6.57,20.23,11.38,9.73,37.28,21.77,11.74,12.77,14.2
2014,11.7,16.0,4.7,37.0,0.0,7.9,11.6,9.2,9.9,38.2,17.7,5.9,14.6,12.6
2015,12.7,14.100000000000001,5.6,39.3,7.6,6.6,17.9,9.0,11.4,42.3,23.2,8.7,15.8,11.3
2016,13.5,19.0,11.9,37.3,47.0,14.5,24.6,12.3,10.8,46.6,24.3,10.3,15.7,13.7
2017,13.4,17.5,12.3,35.6,18.0,15.1,24.5,9.7,11.6,45.9,20.7,9.8,16.3,11.8
2018,13.49,17.509999999999998,11.01,41.83,29.11,6.98,24.23,11.78,11.56,46.46,28.72,10.59,15.47,15.14
2019,11.4,18.0,8.45,47.42,0.0,9.88,21.27,9.29,7.39,53.23,37.46,7.6,14.41,16.97
2020,12.8,18.7,11.2,33.9,40.0,12.3,22.3,10.8,10.1,52.1,35.2,8.5,14.3,13.0
2021,10.4,8.7,5.8,32.3,0.0,7.1,14.0,9.2,7.1,47.7,28.2,11.6,11.5,16.5
