,Aqmola,Aqtöbe,Almaty,Atyrau,West_Kaz,Zhambyl,Qaraghandy,Qostanay,Türkistan,Pavlodar,North_Kaz,East_Kaz,Canada
2004,7.0999999999999996,5.2999999999999998,17.399999999999999,4,5.5999999999999996,16.899999999999999,6.9000000000000004,8,20.199999999999999,6.5,9.4000000000000004,11.6,26.399999999999999
2005,21.600000000000001,4.7000000000000002,29.100000000000001,1.3,3.8999999999999999,15.5,3.8999999999999999,10.4,15,5.4000000000000004,11,10.4,27.399999999999999
2006,23.100000000000001,2.8999999999999999,15.699999999999999,0.90000000000000002,5.9000000000000004,9.9000000000000004,6.2999999999999998,13.300000000000001,12.800000000000001,6.9000000000000004,14.4,9.4000000000000004,26.100000000000001
2007,25.399999999999999,7.7000000000000002,18.899999999999999,0,8.5,12.4,8.0999999999999996,14.9,15.6,8.5999999999999996,15,12.1,23.300000000000001
2008,20.5,8.1999999999999993,8.8000000000000007,0,13.300000000000001,6.5,5.7999999999999998,11.5,9,3.8999999999999999,12.199999999999999,4.2000000000000002,28.600000000000001
2009,22.300000000000001,6.4000000000000004,32.099999999999994,0,5.7999999999999998,21.899999999999999,7.7999999999999998,11,19.300000000000001,13.9,14.4,16,27.899999999999999
2010,11.899999999999999,2.3999999999999999,18,0,4.4000000000000004,14.6,4.5999999999999996,7.2999999999999998,14.699999999999999,5.7000000000000002,9.5999999999999996,9.8000000000000007,28.100000000000001
2011,29.699999999999999,7.4000000000000004,19,0,9.5,15.4,10.800000000000001,18.300000000000001,14.1,7.5999999999999996,20.899999999999999,10.699999999999999,29.600000000000001
2012,13.1,2.7999999999999998,16.300000000000001,0,5.7999999999999998,8.5999999999999996,6.5,6.0999999999999996,10.9,3.7999999999999998,11.5,10.9,28.699999999999999
2013,17.399999999999999,5.2000000000000002,18.199999999999999,2.8999999999999999,7.0999999999999996,16.5,11.5,9.5999999999999996,19.399999999999999,12,12.4,14.199999999999999,36
2014,16.699999999999999,4.7999999999999998,27.699999999999999,0,8.8000000000000007,8.5,9.4000000000000004,9.9000000000000004,13.199999999999999,5.7999999999999998,13.800000000000001,12.4,30.800000000000001
2015,14.100000000000001,5.7999999999999998,36.5,0,7.7999999999999998,15.6,9.1999999999999993,11.4,18.300000000000001,8.8000000000000007,15.5,11,28.899999999999999
2016,18.5,11.699999999999999,28,0,15.6,21.300000000000001,11.9,10.5,21.100000000000001,10.1,14.800000000000001,12.699999999999999,35.799999999999997
2017,17.199999999999999,12.699999999999999,27,0,16.199999999999999,21.100000000000001,9.5999999999999996,11.300000000000001,16.399999999999999,10,16.699999999999999,11.300000000000001,33.399999999999999
2018,16.899999999999999,11,26.399999999999999,0,7.7000000000000002,22.5,11.9,11.4,23.5,11.199999999999999,15.4,14.4,32.200000000000003
2019,17.699999999999999,8.1999999999999993,19.699999999999999,0,10.800000000000001,19.800000000000001,9.0999999999999996,7.2999999999999998,33.299999999999997,7.9000000000000004,14.199999999999999,16.199999999999999,33.5
2020,18.399999999999999,11.1,24.100000000000001,0,14.300000000000001,21.199999999999999,10.800000000000001,10.199999999999999,29.899999999999999,8.6999999999999993,14.4,12.6,35.100000000000001
2021,8.6999999999999993,5.5999999999999996,19.699999999999999,0,7.5,11.5,9.1999999999999993,7.2000000000000002,18.600000000000001,11.800000000000001,11.5,15.9,33.600000000000001
